This is the header for the file.
-------------------
dx | dy  is  233 46 toIndex | u_value | v_value are 20276 514.6075 30.87853
dx | dy  is  234 46 toIndex | u_value | v_value are 20289 517.225 30.8939
dx | dy  is  235 46 toIndex | u_value | v_value are 20300 519.8422 30.90928
dx | dy  is  236 46 toIndex | u_value | v_value are 20313 522.4591 30.92465
dx | dy  is  237 46 toIndex | u_value | v_value are 20326 525.0756 30.94002
dx | dy  is  238 46 toIndex | u_value | v_value are 20338 527.6919 30.95539
dx | dy  is  239 46 toIndex | u_value | v_value are 20351 530.3078 30.97076
dx | dy  is  240 46 toIndex | u_value | v_value are 20363 532.9235 30.98612
dx | dy  is  241 46 toIndex | u_value | v_value are 20375 535.5388 31.00148
dx | dy  is  242 46 toIndex | u_value | v_value are 20388 538.1537 31.01685
dx | dy  is  243 46 toIndex | u_value | v_value are 20400 540.7684 31.03221
dx | dy  is  244 46 toIndex | u_value | v_value are 20413 543.3828 31.04756
dx | dy  is  245 46 toIndex | u_value | v_value are 20425 545.9969 31.06292
dx | dy  is  246 46 toIndex | u_value | v_value are 20438 548.6106 31.07827
dx | dy  is  247 46 toIndex | u_value | v_value are 20450 551.2241 31.09362
dx | dy  is  248 46 toIndex | u_value | v_value are 20462 553.8372 31.10897
dx | dy  is  249 46 toIndex | u_value | v_value are 20475 556.45 31.12432
dx | dy  is  250 46 toIndex | u_value | v_value are 20488 559.0625 31.13967
dx | dy  is  251 46 toIndex | u_value | v_value are 20500 561.6747 31.15501
dx | dy  is  252 46 toIndex | u_value | v_value are 20513 564.2866 31.17036
dx | dy  is  253 46 toIndex | u_value | v_value are 20524 566.8982 31.1857
dx | dy  is  254 46 toIndex | u_value | v_value are 20537 569.5095 31.20104
dx | dy  is  255 46 toIndex | u_value | v_value are 20550 572.1204 31.21638
dx | dy  is  256 46 toIndex | u_value | v_value are 20562 574.7311 31.23171
dx | dy  is  257 46 toIndex | u_value | v_value are 20575 577.3414 31.24704
dx | dy  is  258 46 toIndex | u_value | v_value are 20586 579.9514 31.26238
dx | dy  is  259 46 toIndex | u_value | v_value are 20599 582.5612 31.27771
dx | dy  is  260 46 toIndex | u_value | v_value are 20612 585.1705 31.29304
dx | dy  is  261 46 toIndex | u_value | v_value are 20624 587.7797 31.30836
dx | dy  is  262 46 toIndex | u_value | v_value are 20637 590.3884 31.32369
dx | dy  is  263 46 toIndex | u_value | v_value are 20648 592.9969 31.33901
dx | dy  is  264 46 toIndex | u_value | v_value are 20661 595.6051 31.35433
dx | dy  is  265 46 toIndex | u_value | v_value are 20674 598.213 31.36965
dx | dy  is  266 46 toIndex | u_value | v_value are 20686 600.8205 31.38497
dx | dy  is  267 46 toIndex | u_value | v_value are 20699 603.4277 31.40028
